Pe,St
594.50824,0.90494835
714.20044,0.80840534
1501.5789,0.2286298
1879.9235,0.18965453
2162.1187,0.17862688
2375.1482,0.19238003
2585.4607,0.17739111
2682.3171,0.12420518
2833.8403,0.15901719
2932.983,0.15902075
3388.574,0.18185994
3879.5925,0.14357686
3783.0454,0.13521394
3739.9736,0.12960622
3475.4373,0.12914348
3420.177,0.1203411
3192.943,0.109785356
3289.583,0.10375993
3171.1697,0.09668639
3748.619,0.12205923
3870.9,0.11992679
4024.8286,0.11019006
3951.7363,0.105247594
3888.9592,0.09301719
3898.0017,0.08337776
4034.4016,0.08134504
4185.0566,0.08668221
4725.8276,0.080213025
4513.807,0.09705047
4513.807,0.09705047
4233.1147,0.101961754
4351.1284,0.106750555
4846.0464,0.114162065
5263.193,0.096718214
5385.6714,0.07241583
5361.1646,0.06630019
5782.381,0.07065204
5849.1494,0.066070355
6323.185,0.07040722
6945.8945,0.08887953
7578.763,0.06515518
7990.0723,0.04162087
7952.8755,0.055983044
8421.944,0.0569818
8383.231,0.06179978
8597.105,0.067739844
9209.287,0.064705096
8796.749,0.060293656
8980.314,0.055987462
9444.793,0.05718751
9978.924,0.058827218
10257.033,0.063577786
10689.254,0.06115858
12636.698,0.057807133
10689.667,0.053106718
10665.427,0.04896624
11320.428,0.04948934
10988.223,0.046442404
10002.349,0.04861981
10141.105,0.044829622
9488.572,0.049483664
9337.639,0.047264196
9423.895,0.04312059
10164.499,0.04297079
10520.126,0.04266951
11320.932,0.042073395
10568.635,0.040326986
10593.075,0.037844945
11090.005,0.038656007
11321.468,0.03539202
10863.853,0.034772046
11852.659,0.03514414
10889.081,0.031500347
11218.625,0.03008837
11744.934,0.030409528
12155.903,0.029773042
11664.65,0.028437177
11584.849,0.027161857
11799.375,0.026313
11799.569,0.024780752
12296.54,0.02567161
12814.541,0.025854144
12668.765,0.023922555
13384.431,0.030519629
13262.078,0.032065235
12667.711,0.032405566
12551.667,0.036536653
12210.218,0.04727243
12550.951,0.044994343
13322.032,0.042077843
14434.651,0.045961432
14974.215,0.042981606
14468.116,0.04222887
13444.977,0.03962782
13788.586,0.037058346
14501.7295,0.038120788
14076.168,0.035773784
13600.514,0.034289632
15749.363,0.037721332
18746.55,0.040342003
18448.656,0.03628875
20266.936,0.03528068
14469.376,0.030737365
19182.389,0.0326439
19448.514,0.029993087
18407.07,0.031846486
17582.152,0.031958126
16526.725,0.03298816
15463.799,0.032409765
15044.469,0.03030727
14272.102,0.027844999
14503.202,0.026316527
15218.451,0.026597464
16042.529,0.025857916
14207.295,0.024609426
15080.077,0.023341449
14046.163,0.020054035
13918.273,0.018425293
15644.129,0.02005544
15968.665,0.028847346
17623.22,0.02755552
17304.584,0.019567337
17868.752,0.02048641
18033.832,0.018624542
17991.441,0.023261886
19139.354,0.027556997
19449.398,0.025408812
20129.51,0.026980497
20548.803,0.028649142
21121.596,0.030421123
21711.047,0.028751455
21025.605,0.027268441
22164.184,0.026323777
23905.998,0.026325071
21962.23,0.024790755
20222.992,0.022616027
19810.365,0.02122374
19009.26,0.022376943
18749.871,0.021148216
18708.293,0.016230082
21419.762,0.011648909
21914.803,0.015394829
22371.39,0.01606102
22525.496,0.016815124
21515.74,0.017666273
22473.178,0.018958814
21613.988,0.019639352
21712.37,0.02301971
21912.682,0.021910116
22679.676,0.020634716
23688.998,0.021834033
24629.791,0.0240175
25259.15,0.022779513
24800.629,0.021152057
24128.182,0.019571563
24519.02,0.018109675
25964.598,0.019991362
27433.451,0.019298827
28134.533,0.018111294
26567.527,0.017856754
25436.494,0.0147579
25612.803,0.013228568
26876.953,0.011650627
26878.018,0.010081118
26940.098,0.009561342
31841.953,0.018565783
32655.51,0.017796231
29931.402,0.017238885
32062.691,0.016583221
33721.33,0.01640911
31050.408,0.015783455
29253.887,0.015506784
28921.684,0.013323322
30070.783,0.0138022695
30980.088,0.014399628
33261.54,0.014917578
34346.375,0.014917889
35793.414,0.014761174
35794.312,0.013466997
35064.11,0.01246079
33338.94,0.01327761
32138.238,0.013277294
31194.941,0.012726494
29322.928,0.012241416
32435.02,0.012242218
32959.97,0.011901537
31483.621,0.010934662
32585.555,0.010371095
30280.795,0.01022523
30351.262,0.009101117
31994.533,0.009101429
32288.52,0.009905968
32363.754,0.008724096
31776.14,0.008215981
32963.83,0.0077650915
617184.44,0.008618294
489623.38,0.008347602
462419.53,0.004864551
424782.56,0.006360685
445727.5,0.006636053
441640.12,0.0077507896
430647.4,0.0074292757
386653.8,0.007805017
336962.44,0.008084665
310256.9,0.009409028
283083.34,0.00814101
322607.28,0.0074804956
311702.9,0.0074277157
301164.78,0.0075865053
289654.34,0.007506417
311709.84,0.0068486226
336984.6,0.006359728
320413.22,0.0061606998
333919.9,0.0056207147
320419.12,0.0057611447
297760.34,0.005387246
287703.34,0.0048630517
270433.25,0.0050021075
271050.25,0.0052554687
273542.7,0.0055804583
292332.56,0.006634235
269783.47,0.007559238
269776.4,0.008314974
262456.34,0.008285533
237819.53,0.008168867
226641.42,0.008197491
248416.78,0.0070935916
262468.28,0.007019135
267330.2,0.006657303
272908.12,0.0062256237
264290.1,0.0060735825
237833.34,0.0066099768
240026.83,0.006358327
242242.42,0.00594599
235672.42,0.005659247
240589.81,0.005292285
225116.81,0.0051447335
207760.03,0.0051263412
208719.02,0.0047601666
228746.3,0.0062469174
223557.45,0.00672738
213044.34,0.007399719
194387.86,0.006072371
182640.38,0.005666303
179652.98,0.0053854785
177047.34,0.0042966255
177043.52,0.0046500745
168489.36,0.0047427374
171290.05,0.0051040375
165726.64,0.0052352804
166637.88,0.005602338
158587.47,0.0055863634
171596.9,0.0059952238
166024.31,0.0060460893
156558.88,0.0063790353
165716.25,0.006580498
177677.73,0.006506895
177350.39,0.0067501487
188067.19,0.0071425466
184647.94,0.0073677627
173484.16,0.0076213507
179303.12,0.00820203
167545.44,0.0072435467
159742.78,0.0074087866
160325.69,0.008132262
152021.48,0.008131981
148977.3,0.009908816
140743.9,0.009852657
141005.55,0.009052513
135427.88,0.009470574
122433.4,0.009577507
131513.19,0.009077696
133703.8,0.008627987
136932.28,0.008085643
142048.48,0.008017638
144680.45,0.007471325
132243.67,0.007927232
124933.64,0.008223291
144947.95,0.0071212044
152587.31,0.0068454454
146826.11,0.006236309
148182.58,0.0056655337
144164.8,0.0052348063
147104.28,0.005031994
135463.4,0.0036367094
116330.7,0.004271267
122010.625,0.0044687768
131294.36,0.0049053794
130094.1,0.0051610833
136447.94,0.0051321816
125638.96,0.0051609664
126329.38,0.005585538
127963.32,0.0053238273
132742.36,0.005585718
127724.41,0.0060450593
140762.42,0.006096863
135442.03,0.0064691156
133956.39,0.0071007633
129131.734,0.007140802
120657.56,0.0076627
119554.44,0.00808493
126091.18,0.0067868684
127020.85,0.006542315
117603.94,0.0065790326
113782.64,0.0071000108
113365.44,0.007241709
114198.72,0.0075763785
113988.414,0.007837455
112121.43,0.008084592
109881.67,0.008222604
106313.516,0.008222428
104959.59,0.0076188636
111713.87,0.007344593
104763.46,0.008699997
95759.81,0.008601796
89640.65,0.008948222
82387.09,0.009521129
83147.14,0.009074993
83914.4,0.0085768085
86098.79,0.00790268
91469.81,0.008129298
94194.305,0.007925485
100441.18,0.0072821435
98075.414,0.0071193976
96293.87,0.006921122
95415.266,0.0068240645
106514.44,0.0067479135
106907.586,0.0063594743
99710.9,0.0063233795
101000.24,0.0060955486
106127.586,0.0060614212
111924.22,0.0061826203
116747.79,0.005909707
119785.21,0.005729087
115896.984,0.0054604877
115686.95,0.005074004
118479.74,0.0048499694
110706.82,0.0048360825
104972.016,0.0049463855
107110.13,0.0051313746
108891.31,0.005383727
107698.4,0.005616585
100635.6,0.0050592404
94552.805,0.0049181995
93348.08,0.0046612835
95602.4,0.0043192264
96661.1,0.004175372
89658.9,0.004258504
88351.53,0.0045313584
91314.086,0.005058921
91985.49,0.005248075
92153.28,0.005475111
95595.89,0.0055374256
94548.85,0.005728207
98081.26,0.0057283435
99714.99,0.0054445607
87221.37,0.0051743314
85480.01,0.0050444417
81350.336,0.0050442796
81051.12,0.0053675193
80901.164,0.005727627
80751.62,0.00607748
82397.164,0.006094743
85476.17,0.005941968
87858.67,0.0063407365
87535.65,0.0067090625
91140.28,0.0065593976
92317.16,0.0067472868
91305.61,0.0070989956
87373.766,0.007138991
86733.6,0.0076179197
85469.49,0.007902642
82695.914,0.0072812242
80451.17,0.0075532994
77128.555,0.0074262205
79281.75,0.0067848233
81493.87,0.0065404293
78560.5,0.006060237
77275.336,0.0058088824
74629.17,0.0057597584
73545.01,0.005015548
75872.445,0.005428247
72338.53,0.005694962
69991.125,0.00523235
68593.92,0.0050579812
55856.96,0.005129205
65162,0.0046339547
58049.37,0.0053967433
67714.234,0.0065212045
60772.96,0.0053665154
61671.66,0.0052171694
64446.75,0.0052320696
66854.16,0.0053366283
64920.16,0.0055673826
61896.082,0.0059407223
60436.516,0.006429319
58796.582,0.006429204
63621.727,0.006197826
68215.13,0.005759422
70245.71,0.005991746
71808.36,0.0061287074
62235.02,0.006899652
61552.9,0.00734175
54940.438,0.0059068142
63036.06,0.008242876
63499.105,0.008771147
67091.47,0.008407745
70368.18,0.008384299
73940.06,0.008503771
76002.195,0.008576257
78266.516,0.008151457
75864.46,0.007969244
72998.65,0.0077910684
68585.75,0.00781278
63500.926,0.007901117
64202.844,0.008219735
64439.82,0.007746571
66970.97,0.0073629105
69985.6,0.006978546
71411.15,0.0072191246
73134.57,0.0070779608
74899.24,0.0070581147
76565.875,0.007058216
65634.516,0.0069389623
64324.332,0.0066888086
63271.617,0.006576384
55752.5,0.0058902167
54940.27,0.0059738997
53155.055,0.0064651864
51617.434,0.006706761
55647.72,0.0069972347
52571.438,0.007382567
50307.312,0.0075723454
52666.883,0.007944893
54334.74,0.007967517
55645.996,0.007833805
57937.582,0.0075944513
59444.48,0.0075731664
58362.68,0.0083360765
58362.137,0.008623342
60320.875,0.008647908
61436.832,0.008920804
63149.816,0.009228384
55541.5,0.009253704
56672.31,0.0099025965
53341.47,0.011896859
53146.953,0.01127546
50764.42,0.011930112
48668.46,0.011211329
46743.062,0.011963201
40883.492,0.0148251
42178.19,0.014867317
42567.332,0.014130722
41488.777,0.013544554
40289.594,0.012873173
42803.043,0.013130636
43997.67,0.012305291
41949.04,0.012201128
40735.89,0.012304675
38203.824,0.011628639
40143.42,0.011401441
40662.758,0.010745188
43041.156,0.0111158835
44895.605,0.011053596
45226.69,0.0105953
45979.855,0.010213576
50673.76,0.010071044
53638.043,0.0101858005
51992.496,0.009518282
49753.305,0.009762961
45728.562,0.0094372155
45981.598,0.008893979
42571.22,0.010126926
40292.12,0.010241576
41038.426,0.00976174
41114.586,0.0090708425
37442.57,0.009816432
35699.82,0.009095655
36494.71,0.008645086
37719.89,0.008380905
38629.555,0.008743594
40442.12,0.008596981
40442.684,0.008170999
40740.996,0.0077881175
39419.094,0.0070551727
40369.77,0.0073397383
48408.88,0.0063921954
44492.03,0.006630806
43763.17,0.0069175772
43923.344,0.00729881
43521.703,0.007744597
44900.227,0.007593194
46577.51,0.0077231023
46835.535,0.0071159806
49666.523,0.007076182
48052.117,0.007989406
48583.348,0.008264784
48850.973,0.008525518
49937.566,0.008794572
