Source,Fluide,Dh,Small_length,Big_length,Geometrie,Pressure,G,u_in,q,X_OSV,DT_OSV,u_tau
,,mm,mm,mm,,bar,kg/m2/s,m/s,kW/m2,,K,m/s
Egen,Water,4.71714285714286,2.6,25.4,Channel,137.8952,912.742722036725,,252.36725960504,,4.44444444444444,
Egen,Water,4.71714285714286,2.6,25.4,Channel,137.8952,549.273109100852,,473.18861175945,,9.44444444444444,
Egen,Water,4.71714285714286,2.6,25.4,Channel,137.8952,897.824193147566,,946.3772235189,,12.7777777777778,
Egen,Water,4.71714285714286,2.6,25.4,Channel,137.8952,886.97435395545,,1261.8362980252,,17.7777777777778,
Egen,Water,4.71714285714286,2.6,25.4,Channel,137.8952,1139.23311517214,,946.3772235189,,13.8888888888889,
Egen,Water,4.71714285714286,2.6,25.4,Channel,137.8952,1144.6580347682,,1261.8362980252,,21.1111111111111,
Egen,Water,4.71714285714286,2.6,25.4,Channel,137.8952,1144.6580347682,,1577.2953725315,,17.2222222222222,
Ferrell,Water,11.8,,11.8,Tube,4.136856,539.779499807751,,362.777935682245,,11.6666666666667,
Ferrell,Water,11.8,,11.8,Tube,4.136856,1064.64047072634,,362.777935682245,,12.2222222222222,
Ferrell,Water,11.8,,11.8,Tube,8.273712,528.929660615635,,362.777935682245,,14.4444444444444,
Ferrell,Water,11.8,,11.8,Tube,8.273712,528.929660615635,,365.932526427308,,12.7777777777778,
Ferrell,Water,11.8,,11.8,Tube,8.273712,528.929660615635,,242.903487369851,,10.5555555555556,
Ferrell,Water,11.8,,11.8,Tube,8.273712,1059.21555113029,,681.391600933608,,18.8888888888889,
Ferrell,Water,11.8,,11.8,Tube,8.273712,1059.21555113029,,451.106476544009,,16.1111111111111,
Ferrell,Water,11.8,,11.8,Tube,8.273712,1059.21555113029,,362.777935682245,,13.3333333333333,
Ferrell,Water,11.8,,11.8,Tube,8.273712,1318.25546184205,,678.237010188545,,18.8888888888889,
Ferrell,Water,11.8,,11.8,Tube,16.547424,539.779499807751,,365.932526427308,,12.2222222222222,
Ferrell,Water,11.8,,11.8,Tube,16.547424,1052.43440163521,,662.46405646323,,18.3333333333333,
Rouhani,Water,13,12,25,Annular,39.1,132,,590,,26.44758,0.0107263471363185
Rouhani,Water,13,12,25,Annular,29.1,132,,590,,26.397964,0.0105726474340408
Rouhani,Water,13,12,25,Annular,19.6,132,,590,,26.728632,0.0104299050812159
Rouhani,Water,13,12,25,Annular,9.8,132,,300,,14.528275,0.0103753043423683
Rouhani,Water,13,12,25,Annular,9.8,1060,,890,,22.714527,0.0587851278968506
Rouhani,Water,13,12,25,Annular,9.8,1440,,890,,19.55749,0.0778062853367087
Bartolomei_1,Water,15.4,,15.4,Tube,15,900,,380,-0.045147855,,
Bartolomei_1,Water,15.4,,15.4,Tube,30,900,,380,-0.04079546,,
Bartolomei_1,Water,15.4,,15.4,Tube,45,900,,380,-0.03810671,,
Bartolomei_1,Water,15.4,,15.4,Tube,30,900,,800,-0.07729823,,
Bartolomei_1,Water,15.4,,15.4,Tube,45,900,,800,-0.069823794,,
Bartolomei_1,Water,24,,24,Tube,15,900,,380,-0.041774906,,
Bartolomei_1,Water,24,,24,Tube,30,900,,380,-0.037,,
Bartolomei_1,Water,24,,24,Tube,45,900,,380,-0.035,,
Bartolomei_1,Water,24,,24,Tube,30,900,,780,-0.079240695,,
Bartolomei_1,Water,24,,24,Tube,45,900,,780,-0.078,,
Bartolomei_2,Water,12,,12,Tube,68.9,985,,1130,-0.12312955,,
Bartolomei_2,Water,12,,12,Tube,68.1,998,,440,-0.046079736,,
Bartolomei_2,Water,12,,12,Tube,68.9,965,,780,-0.10095574,,
Bartolomei_2,Water,12,,12,Tube,68.4,961,,1130,-0.1346784,,
Bartolomei_2,Water,12,,12,Tube,67.4,988,,1700,-0.19242604,,
Bartolomei_2,Water,12,,12,Tube,147.9,1878,,420,-0.035060503,,
Bartolomei_2,Water,12,,12,Tube,147.4,1847,,770,-0.068575546,,
Bartolomei_2,Water,12,,12,Tube,147.5,2123,,1130,-0.123738796,,
Bartolomei_2,Water,12,,12,Tube,68.9,1467,,770,-0.065759696,,
Bartolomei_2,Water,12,,12,Tube,67.9,2024,,780,-0.044848308,,
Bartolomei_2,Water,12,,12,Tube,108.1,966,,1130,-0.14842111,,
Bartolomei_2,Water,12,,12,Tube,108.4,1959,,1130,-0.07642259,,
Bartolomei_2,Water,12,,12,Tube,30.1,990,,980,-0.079097465,,
Bartolomei_2,Water,12,,12,Tube,44.1,994,,900,-0.10122801,,
Bartolomei_2,Water,12,,12,Tube,146.8,1000,,1130,-0.19385192,,
Bartolomei_2,Water,12,,12,Tube,68.1,2037,,1130,-0.05373526,,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.13074064,,0.3355,386.121907195711,,12.8444444444444,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.14453016,,0.3355,369.087117172371,,11.9166666666667,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.11695112,,0.915,307.761873088346,,8.58166666666667,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.18589872,,1.3725,369.087117172371,,6.86111111111111,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.4823734,,2.8975,772.243814391422,,9.44444444444444,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.18589872,,1.4335,715.461180980288,,12.6,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.19279348,,1.464,367.951464504148,,7.38,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.15142492,,0.366,365.680159167703,,11.4488888888889,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.19279348,,1.4335,367.951464504148,,7.38,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.46858388,,2.9585,783.600341073649,,9.2,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.19279348,,0.366,420.191487242392,,12.5388888888889,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.19968824,,1.4335,367.951464504148,,8.64,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,1.49616292,,2.9585,777.922077732536,,9.13333333333333,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,3.08195772,,0.366,372.494075177039,,13.6666666666667,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,3.08195772,,1.464,378.172338518152,,8.51,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,3.08195772,,2.928,784.735993741872,,8.44555555555555,
Staub_Ch,Water,11.4545454545455,6.3,63,Channel,3.08195772,,2.928,791.549909751208,,9.29333333333334,
Staub_TuF,R22,10.16,,10.16,Tube,14.4272853,,0.16775,20.2146174943637,-0.0433871254285087,,
Staub_TuF,R22,10.16,,10.16,Tube,14.49968028,,0.6588,47.6974120653526,-0.0520636565400936,,
Staub_TuF,R22,10.16,,10.16,Tube,14.47210124,,1.2505,48.8330647335752,-0.0286740290086856,,
Staub_TuF,R22,10.16,,10.16,Tube,11.92448742,,0.4575,24.3029670999654,-0.0318493514445925,,
Staub_TuF,R22,10.16,,10.16,Tube,32.922479,,0.7015,62.4608967522474,-0.11193655693158,,
Staub_TuF,R22,10.16,,10.16,Tube,32.90868948,,1.342,47.1295857312412,-0.0514217506286058,,
Staub_TuW,Water,10.16,,10.16,Tube,68.9476,,1.1285,1169.72224826936,-0.10234,,
Staub_TuW,Water,10.16,,10.16,Tube,68.9476,,1.647,1658.05289560511,-0.0960824148130105,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,2200,,750,-0.036401203,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,2200,,1100,-0.054883547,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,500,,400,-0.10709459,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,1500,,1100,-0.078911567,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,750,,400,-0.07667955,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,750,,750,-0.10732972,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,1500,,1700,-0.11802721,,
Martin,Water,5.3030303030303,2.8,50,Channel,78.48,1500,,750,-0.058503404,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,500,,200,-0.075946717,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,2200,,750,-0.035091176,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,750,,400,-0.09424998,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,1500,,400,-0.042423387,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,1500,,750,-0.067895837,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,2200,,1100,-0.06497441,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,500,,400,-0.1581973,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,2200,,1700,-0.1143626,,
Martin,Water,5.3030303030303,2.8,50,Channel,107.91,750,,750,-0.13107692,,
Martin,Water,5.3030303030303,2.8,50,Channel,137.34,750,,400,-0.060305285,,
Martin,Water,5.3030303030303,2.8,50,Channel,137.34,2200,,1100,-0.05258845,,
Martin,Water,5.3030303030303,2.8,50,Channel,137.34,2200,,1700,-0.08075222,,
Martin,Water,3.84615384615385,2,50,Channel,137.34,2000,,1000,-0.056997743,,
Martin,Water,3.84615384615385,2,50,Channel,137.34,3000,,1000,-0.036985567,,
Sabotinov,Water,11.7,,11.7,Tube,68.06,2037,,1137.18,,17.348558020809,
Sabotinov,Water,11.7,,11.7,Tube,68.35,1547,,1367.22,,30.7122445846957,
Sabotinov,Water,11.7,,11.7,Tube,67.86,2023,,785.14,,12.4905088603861,
Sabotinov,Water,11.7,,11.7,Tube,68.06,1979,,786.19,,10.8019211684316,
Sabotinov,Water,11.7,,11.7,Tube,67.86,962,,1688.33,,56.5611623486884,
Sabotinov,Water,11.7,,11.7,Tube,107.97,1015,,1723.33,,80.830871927966,
Sabotinov,Water,11.7,,11.7,Tube,107.68,2129,,1723.33,,29.8690559639968,
Sabotinov,Water,11.7,,11.7,Tube,107.98,2109,,1718.33,,24.4153581669838,
Sekoguchi,Water,15.8,,15.8,Tube,1.41855,310,,93.039999992,-0.0104464395,,
Sekoguchi,Water,15.8,,15.8,Tube,1.519875,311,,161.6569999861,-0.018820224,,
Sekoguchi,Water,15.8,,15.8,Tube,1.519875,466,,93.039999992,-0.009997587,,
Sekoguchi,Water,15.8,,15.8,Tube,1.722525,468,,161.6569999861,-0.023812676,,
Sekoguchi,Water,15.8,,15.8,Tube,1.925175,697,,161.6569999861,-0.015164919,,
Sekoguchi,Water,13.6,,13.6,Tube,2.330475,501,,233.7629999799,-0.018800378,,
Sekoguchi,Water,13.6,,13.6,Tube,4.154325,328,,232.59999998,-0.017376265,,
Sekoguchi,Water,13.6,,13.6,Tube,4.25565,498,,231.4369999801,-0.019441427,,
Sekoguchi,Water,13.6,,13.6,Tube,4.356975,1919,,227.9479999804,-0.011466255,,
Sekoguchi,Water,13.6,,13.6,Tube,4.356975,1937,,333.7809999713,-0.014903188,,
Sekoguchi,Water,13.6,,13.6,Tube,4.154325,625,,458.2219999606,-0.0348531,,
Sekoguchi,Water,13.6,,13.6,Tube,8.004675,630,,231.4369999801,-0.030442957,,
Sekoguchi,Water,13.6,,13.6,Tube,8.106,1937,,217.4809999813,-0.012351946,,
Sekoguchi,Water,13.6,,13.6,Tube,16.212,607,,231.4369999801,-0.022274861,,
Sekoguchi,Water,11,,11,Tube,8.207325,974,,1145.5549999015,-0.05327862,,
Sekoguchi,Water,11,,11,Tube,8.207325,974,,1628.19999986,-0.07423834,,
Edelman,Water,11.3,,11.3,Tube,1,27.5,,14.55,-0.0013,,
Edelman,Water,11.3,,11.3,Tube,1,30.5,,16,-0.0012,,
Edelman,Water,11.3,,11.3,Tube,1,33,,17.3,-0.0013,,
Edelman,Water,11.3,,11.3,Tube,1,37.5,,20.3,-0.0015,,
Edelman,Water,11.3,,11.3,Tube,1,43,,22.85,-0.0013,,
Edelman,Water,11.3,,11.3,Tube,1,49,,25.75,-0.0016,,
Edelman,Water,11.3,,11.3,Tube,1,55.5,,28.575,-0.0021,,
Edelman,Water,11.3,,11.3,Tube,1,61.5,,31.85,-0.002,,
Edelman,Water,11.3,,11.3,Tube,1,74,,38.125,-0.0032,,
Edelman,Water,11.3,,11.3,Tube,1,80,,43.95,-0.0034,,
Edelman,Water,11.3,,11.3,Tube,1,97,,49.15,-0.0034,,
Edelman,Water,11.3,,11.3,Tube,1,114,,60.625,-0.004,,
Edelman,Water,11.3,,11.3,Tube,1,135,,70.4,-0.0058,,
Edelman,Water,11.3,,11.3,Tube,1,153,,78,-0.0065,,
Edelman,Water,11.3,,11.3,Tube,1,169,,86.65,-0.007,,
Edelman,Water,11.3,,11.3,Tube,1,185,,95.5,-0.0073,,
Labuntsov,Water,34.3,,34.3,Tube,5,,2,1700,-0.078,,
Labuntsov,Water,12.1,,12.1,Tube,20,,4,1160,-0.037067626,,
Labuntsov,Water,12.1,,12.1,Tube,70,,1,580,-0.07793921,,
Labuntsov,Water,12.1,,12.1,Tube,70,,4,1160,-0.053020988,,
Zeitoun,Water,12.7,12.7,25.4,Annular,1.14,161.2,,213.6,,9.80314427002335,0.0125969286684952
Zeitoun,Water,12.7,12.7,25.4,Annular,1.1,188.9,,210,,7.66475874195442,0.0142988294146048
Zeitoun,Water,12.7,12.7,25.4,Annular,1.18,239.5,,207.6,,9.9049173624103,0.0173972677829539
Zeitoun,Water,12.7,12.7,25.4,Annular,1.56,139,,356.9,,12.8287633290826,0.0110901036523429
Zeitoun,Water,12.7,12.7,25.4,Annular,1.07,181.3,,356.9,,12.5287666624434,0.0139418392904278
Zeitoun,Water,12.7,12.7,25.4,Annular,1.3,327.5,,365.7,,15.675677615246,0.0228014035210002
Zeitoun,Water,12.7,12.7,25.4,Annular,1.23,283.1,,478.5,,15.4970051347962,0.0200802227399309
Zeitoun,Water,12.7,12.7,25.4,Annular,1.45,390.7,,483.2,,17.9282070224969,0.0265795173533981
Zeitoun,Water,12.7,12.7,25.4,Annular,1.2,224.5,,592.7,,15.2764362677681,0.0165481579798052
Zeitoun,Water,12.7,12.7,25.4,Annular,1.25,288.7,,598.3,,18.3466575205992,0.020518693840422
Zeitoun,Water,12.7,12.7,25.4,Annular,1.37,348.9,,603.4,,14.98212062649,0.0240574789895116
Zeitoun,Water,12.7,12.7,25.4,Annular,1.09,198.6,,291.5,,14.3044903706311,0.0150388090778561
Zeitoun,Water,12.7,12.7,25.4,Annular,1.1,202.7,,467.4,,13.061049061278,0.0152323498117137
Zeitoun,Water,12.7,12.7,25.4,Annular,1.2,152.6,,593.2,,20.466993470294,0.0122426312139332
